Date Reported,Nature (Classification),Disposition,Date/Time Occurred,General Location
11/11/2024,Non-Affiliate Refuse to Leave University Property,"Arrest, 1",11/11/2024 0256,San Rafael Residence Hall
11/11/2024,Rape,Report Filed,11/11/2024 Unknown,Campus Housing
11/10/2024,Noise Ordinance,"Citation, 1",11/9/2024 0045,6500 Blk Del Playa Drive
11/10/2024,Battery,Report Filed,11/9/2024 0100,6600 Blk Sueno Road
11/10/2024,Battery,Report Filed,11/9/2024 1500,900 Blk Embarcadero Del Mar
11/10/2024,Driver in Possession of Open Container in a Vehicle,"Citation, 1",11/9/2024 2141,6600 Blk Del Playa Drive
11/10/2024,Urinating or Defecating in Public,"Citation, 1",11/9/2024 2159,6700 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2208,6700 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2223,Del Playa Drive/Camino Pescadero
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2320,6500 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2330,6600 Blk Del Playa Drive
11/11/2024,Minor in Possession of Alcohol,"Citation, 1",11/10/2024 0007,6700 Blk Del Playa Drive
11/11/2024,Open Container of Alcohol,"Citation, 1",11/10/2024 0019,6600 Blk Del Playa Drive
11/11/2024,Open Container of Alcohol,"Citation, 1",11/10/2024 0019,6600 Blk Del Playa Drive
11/11/2024,Possession of a Narcotic Controlled Substance,"Citation, 3",11/9/2024 0151,Camino Majorca/Del Playa Drive
11/12/2024,Open Container of Alcohol,"Citation, 1",11/11/2024 0919,6600 Blk Trigo Road
11/12/2024,Possession and Use of False Identification,Report Filed,11/3/2024 0549,Embarcadero Del Norte
11/12/2024,Panhandling or Soliciting,"Citation, 1",11/11/2024 1647,800 Blk Embarcadero Del Norte
11/12/2024,Petty Theft,Report Filed,11/11/2024 1819,800 Blk Camino Del Sur
11/12/2024,Obtain Money/Etc. by False Pretense,Report Filed,1/7/2024 0823 - 11/7/2024 0235,Sierra Madre Villages
11/12/2024,Petty Theft,Report Filed,11/11/2024 2130 - 11/12/2024 1015,Santa Catalina Residence Hall Bike Racks
11/12/2024,Petty Theft,Report Filed,11/7/2024 1800 - 11/8/2024 1100,Anacapa Residence Hall Bike Racks
11/12/2024,Clery: Fondling,CSA Report Filed,10/31/2024 Unknown,Campus Property
11/13/2024,No Crimes Reported,,,,
11/14/2024,Petty Theft,Report Filed,11/14/2024 0130,University Center Bike Racks
11/11/2024,Non-Affiliate Refuse to Leave University Property,"Arrest, 1",11/11/2024 0256,San Rafael Residence Hall
11/11/2024,Rape,Report Filed,11/11/2024 Unknown,Campus Housing
11/10/2024,Noise Ordinance,"Citation, 1",11/9/2024 0045,6500 Blk Del Playa Drive
11/10/2024,Battery,Report Filed,11/9/2024 0100,6600 Blk Sueno Road
11/10/2024,Battery,Report Filed,11/9/2024 1500,900 Blk Embarcadero Del Mar
11/10/2024,Driver in Possession of Open Container in a Vehicle,"Citation, 1",11/9/2024 2141,6600 Blk Del Playa Drive
11/10/2024,Urinating or Defecating in Public,"Citation, 1",11/9/2024 2159,6700 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2208,6700 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2223,Del Playa Drive/Camino Pescadero
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2320,6500 Blk Del Playa Drive
11/10/2024,Open Container of Alcohol,"Citation, 1",11/9/2024 2330,6600 Blk Del Playa Drive
11/11/2024,Minor in Possession of Alcohol,"Citation, 1",11/10/2024 0007,6700 Blk Del Playa Drive
11/11/2024,Open Container of Alcohol,"Citation, 1",11/10/2024 0019,6600 Blk Del Playa Drive
11/11/2024,Open Container of Alcohol,"Citation, 1",11/10/2024 0019,6600 Blk Del Playa Drive
11/11/2024,Possession of a Narcotic Controlled Substance,"Citation, 3",11/9/2024 0151,Camino Majorca/Del Playa Drive
11/12/2024,Open Container of Alcohol,"Citation, 1",11/11/2024 0919,6600 Blk Trigo Road
11/12/2024,Possession and Use of False Identification,Report Filed,11/3/2024 0549,Embarcadero Del Norte
11/12/2024,Panhandling or Soliciting,"Citation, 1",11/11/2024 1647,800 Blk Embarcadero Del Norte
11/12/2024,Petty Theft,Report Filed,11/11/2024 1819,800 Blk Camino Del Sur
11/12/2024,Obtain Money/Etc. by False Pretense,Report Filed,1/7/2024 0823 - 11/7/2024 0235,Sierra Madre Villages
11/12/2024,Petty Theft,Report Filed,11/11/2024 2130 - 11/12/2024 1015,Santa Catalina Residence Hall Bike Racks
11/12/2024,Petty Theft,Report Filed,11/7/2024 1800 - 11/8/2024 1100,Anacapa Residence Hall Bike Racks
11/12/2024,Clery: Fondling,CSA Report Filed,10/31/2024 Unknown,Campus Property
11/13/2024,No Crimes Reported,,,,
11/14/2024,Petty Theft,Report Filed,11/14/2024 0130,University Center Bike Racks
Date Reported,Nature (Classification),Disposition,Date/Time Occurred,General Location
12/30/2024,No Crimes Reported,,,,
12/31/2024,No Crimes Reported,,,,
12/31/2024,Brandishing a Weapon,"Arrest, 1",12/30/2024 0939,6500 Blk El Colegio Road
12/31/2024,Vandalism,Report Filed,12/30/2024 1802,6700 Blk Abrego Road
1/1/2025,No Crimes Reported,,,,
1/2/2025,Petty Theft Vandalism,Report Filed,12/30/2024 1000 - 1/2/2025 0800,Robertson Gymnasium
1/2/2025,Petty Theft,Report Filed,12/25/2024 1800 - 1/2/2025 1200,Storke Family Housing Bike Racks
1/3/2025,No Crimes Reported,,,,
1/4/2025,No Crimes Reported,,,,
1/5/2025,Petty Theft Vandalism,Report Filed,1/4/2025 2200 - 1/5/2025 1140,Santa Catalina Residence Hall Bike Racks
1/5/2025,Petty Theft,Report Filed,12/18/2024 2230 - 1/5/2025 1015,Santa Catalina Residence Hall Bike Racks
1/5/2025,Motor Vehicle Theft (Electric Bicycle),Report Filed,1/4/2025 2100 - 1/5/2025 1120,Santa Catalina Residence Hall Bike Racks
,,"Arrest, 1",,  <-- (Removed as too incomplete to repair meaningfully)
1/5/2025,Unauthorized Camping on University Property Receive/Etc. Known Stolen Property,"Arrest, 1",1/5/2025 1602,Humanities and Social Sciences Building
1/5/2025,Vandalism,Report Filed,12/22/2024 1800 - 12/29/2024 2200,San Joaquin Villages
1/5/2025,Possession of a Controlled Substance for Sale Operating or Maintaining a Drug House,"Arrest, 1",1/4/2025 2228,6600 Blk Abrego Road
1/6/2025,Possession of Drug Paraphernalia Possession of Marijuana for Sale,"Arrest, 1",1/5/2025 1125,6700 Blk Sueno Road
1/6/2025,Misappropriation of Lost Property Joyriding Possession of Drug Paraphernalia,"Arrest, 1",1/6/2025 1100,Little Acorn Park
1/6/2025,Battery on a Peace Officer/Emergency Personnel/Etc. Stalking Hate Crime: Violate Civil Rights by Force or Threat of Force Criminal Threats,"Arrest, 1",1/6/2025 0541 - 1/6/2025 0629,Campus Housing
1/6/2025,Petty Theft,Report Filed,Unknown,San Nicolas Residence Hall Bike Racks
1/6/2025,Petty Theft,Report Filed,1/4/2025 1930 - 1/5/2025 1315,San Joaquin Villages Bike Racks
1/7/2025,Burglary,Report Filed,1/6/2025 1300,6500 Blk Trigo Road
1/7/2025,Fraud by False Pretenses/Impersonation,Report Filed,1/6/2025 1630,Embarcadero Del Norte
1/7/2025,Vandalism,Report Filed,1/6/2025 1100 - 1/7/2025 0900,Arts Building
1/7/2025,Petty Theft from Vehicle,Report Filed,2/20/2024 1800 - 12/27/2024 0730,Transportation and Parking Services
1/7/2025,Clery: Hate Crime,CSA Report Filed,Unknown - 12/20/2024 1603,Campus Housing
1/7/2025,Obtain Money/Etc.by False Pretense,Report Filed,1/5/2025 1245 - 1/5/2025 1349,Isla Vista
1/8/2025,Petty Theft,Report Filed,1/7/2025 1300 - 1/8/2025 1000,San Rafael Residence Hall Bike Racks
1/8/2025,Minor Knowingly Operate Vehicle While Carrying Alcohol,"Citation, 1",1/8/2025 1357,Parking Lot 02
1/8/2025,Possess Counterfeit Money,Report Filed,1/8/2025 1514,University Center
1/8/2025,Motor Vehicle Theft (Electric Bicycle),Report Filed,1/8/2025 1530 - 1/8/2025 1650,Recreation Center Bike Racks
1/9/2025,Misappropriation of Lost Property,Report Filed,1/7/2025 1700 - 1/9/2025 1000,San Clemente Villages
1/9/2025,Petty Theft,Report Filed,1/9/2025 1500 - 1/9/2025 1537,Tropicana Del Norte Bike Racks
11/14/2024,Petty Theft,Report Filed,11/14/2024 1135 - 11/14/2024 1150,Carrillo Dining Commons
11/14/2024,Clery: Rape,CSA Report Filed,4/1/2019 - 3/1/2020,Campus Property
11/14/2024,Commit Mail Theft,Other Agency Assist,11/12/2024 1600 - 11/14/2024 1900,Abrego Road
11/15/2024,Motor Vehicle Theft,Report Filed,11/14/2024 1607 - 11/15/2024 0706,Parking Structure 50
11/15/2024,Petty Theft,Report Filed,11/14/2024 1700 - 11/14/2024 2100,South Hall Bike Racks
11/15/2024,Larceny Petty Theft,Report Filed,11/14/2024 0100 - 11/14/2024 1125,6500 Blk Trigo Road
11/15/2024,Noise Ordinance,"Citation, 1",11/14/2024 2228,700 Blk Embarcadero Del Norte
11/15/2024,Public Intoxication,"Arrest, 1",11/14/2024 2233,Embarcadero Del Norte/Cervantes Road
11/15/2024,Noise Ordinance,"Citation, 1",11/14/2024 2235,700 Blk Embarcadero Del Norte
11/15/2024,Noise Ordinance,"Citation, 2",11/14/2024 2319,6500 Blk Cordoba Road
11/16/2024,Minor in Possession of Alcohol Battery,Report Filed,11/15/2024 0104,900 Blk Embarcadero Del Norte
11/16/2024,Grand Theft,Report Filed,11/15/2024 0800,6500 Blk Trigo Road
11/16/2024,Minor in Possession of Alcohol,"Citation, 1",11/15/2024 2123,Embarcadero Del Mar/ El Greco Road
11/16/2024,Minor in Possession of False ID Littering,"Citation, 1",11/15/2024 2203,Picasso Road/ Embarcadero Del Mar
11/16/2024,Minor in Possession of Alcohol,"Citation, 1",11/15/2024 2221,Embarcadero Del Norte/ El Greco Road
11/16/2024,Minor in Possession of Alcohol,"Citation, 1",11/15/2024 2330,6500 Blk Del Playa Drive
11/16/2024,Urinating or Defecating in Public,"Citation, 1",11/15/2024 2348,Del Playa Drive/ Camino Del Sur
11/16/2024,Brandishing a Weapon,Report Filed,11/15/2024 2357,Camino Pescadero/ El Greco Road
11/17/2024,Open Container of Alcohol,"Citation, 1",11/16/2024 0018,6600 Blk Del Playa Drive
11/17/2024,Vandalism Public Intoxication Prowling,"Arrest, 1",11/16/2024 0216,6500 Blk Segovia Road
11/17/2024,Open Container of Alcohol,"Citation, 1",11/16/2024 2114,6500 Blk Del Playa Drive
11/17/2024,Urinating or Defecating in Public,"Citation, 1",11/16/2024 2327,Camino Del Sur/ Del Playa Drive
11/17/2024,Urinating or Defecating in Public,"Citation, 1",11/16/2024 2327,Camino Del Sur/ Del Playa Drive
11/17/2024,Minor in Possession of Alcohol,"Citation, 1",11/16/2024 2327,Camino Del Sur/ Del Playa Drive
11/17/2024,Urinating or Defecating in Public,"Citation, 1",11/16/2024 2327,Camino Del Sur/ Del Playa Drive
11/17/2024,Urinating or Defecating in Public Minor in Possession of Alcohol,"Citation, 1",11/16/2024 2327,Camino Del Sur/ Del Playa Drive
11/17/2024,Open Container of Alcohol False Identification to a Police Officer,"Citation, 1",11/15/2024 2250,Embarcadero Del Norte/El Greco Road
11/17/2024 11/18/2024,Assault w/Serious Bodily Injury Open Container of Alcohol,"Report Filed Citation, 1",11/16/2024 2346 - 11/17/2024 0014,6600 Blk Sueno Road 6600 Blk Del Playa Drive
11/18/2024,Open Container of Alcohol,"Citation, 1",11/17/2024 0014,6600 Blk Del Playa Drive
11/18/2024,Noise Ordinance,"Citation, 1",11/17/2024 0041,6600 Blk Del Playa Drive
11/18/2024,Noise Ordinance Disturbing the Peace,"Citation, 1",11/17/2024 0134,6600 Blk Trigo Road
11/18/2024 11/18/2024,Noise Ordinance Prowling Peeking,"Citation, 1 Arrest, 1",11/17/2024 0327 - 11/18/2024 0107,6600 Blk Abrego Road San Rafael Residence Hall
11/18/2024,Possess Unlawful Drug Paraphernalia Motor Vehicle Theft (Electric Bicycle),Report Filed,11/18/2024 0200 - 11/18/2024 0210,San Clemente Villages
11/18/2024,Grand Theft,Report Filed,11/15/2024 1500 - 11/15/2024 1527,Recreation Center
11/18/2024,Petty Theft,Report Filed,11/17/2024 2200 - 11/18/2024 0700,San Rafael Residence Hall Bike Racks
11/18/2024,Petty Theft,Report Filed,11/12/2024 2300 - 11/15/2024 1100,Santa Cruz Residence Hall Bike Racks
11/18/2024,Vandalism,Report Filed,11/11/2024 2230 - 11/18/2024 1400,San Rafael Residence Hall Bike Racks
11/18/2024,Petty Theft Vandalism,Report Filed,11/14/2024 2130 - 11/18/2024 2130,Manzanita Villages Bike Racks
11/19/2024,Petty Theft,Report Filed,Unknown,6500 Blk Cordoba Road
11/19/2024,Criminal Threats Assault by Force Causing Great Bodily Injury Vandalism Challenging to Fight in a Public Place Obstruct/Resist/Etc Police Officer/Emergency Med Tech,"Arrest, 1",11/18/2024 2308,6600 Blk Sabado Tarde Road
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 3",10/1/2024 22:40,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 1",10/5/2024 00:00,Santa Cruz Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 2",10/8/2024 21:45,Santa Rosa Residence Hall
11/19/2024,Drug Law Violation,"Referred to Student Conduct, 4",10/13/2024 01:20,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 4",10/17/2024 23:25,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 2",10/26/2024 00:57,San Rafael Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 5",10/31/2024 23:10,Santa Cruz Residence Hall
11/19/2024,Clery: Rape (3 instances) Clery: Fondling (2 instances) Clery: Dating Violence (5 instances),Report Filed,September 2016 - June 2018,Campus Housing
11/19/2024,Petty Theft,Report Filed,11/17/2024 1125 - 11/17/2024 1135,Davidson Library
11/19/2024,Misappropriation of Lost Property Petty Theft Prowling Obstruct/Resist/Etc Police Officer/Emergency Med Tech Take Bicycle Without Owner's Permission Possession of Unlawful Drug Paraphernalia,"Arrest, 1",11/19/2024 1217,Storke Family Housing
11/19/2024,Motor Vehicle Theft (Electric Bicycle),Report Filed,11/15/2024 1700 - 11/15/2024 1735,Biological Services II Bike Racks
11/20/2024,Petty Theft,Report Filed,11/19/2024 2200,Recreation Center
11/20/2024,Tamper with Vehicle,Report Filed,11/17/2024 1000 - 11/19/2024 2200,Santa Ynez Apartments
11/21/2024,Possession of Prescription Meds,"Citation, 1",11/20/2024 1256,Camino Pescadero/Seville Road
11/21/2024,Noise Ordinance,"Citation, 1",11/20/2024 2215,6700 Blk Del Playa Drive
